question,label
안구진탕,S-SYMPTOM1
고양이 안구진탕 궁금해,S-ANIMAL S-SYMPTOM1 O
강아지 안구진탕 궁금해,S-ANIMAL S-SYMPTOM1 O
안구진탕 궁금해,S-SYMPTOM1 O
고양이 안구진탕이 궁금함,S-ANIMAL S-SYMPTOM1 O
강아지 안구진탕이 궁금함,S-ANIMAL S-SYMPTOM1 O
안구진탕 궁금해,S-SYMPTOM1 O
안구진탕 때문에..,S-SYMPTOM1 O
안구진탕 증상이 있어,S-SYMPTOM1 O O
고양이 망막 이상,S-ANIMAL S-SYMPTOM1 O
강아지 망막 이상,S-ANIMAL S-SYMPTOM1 O
망막 이상,S-SYMPTOM1 O
망막 이상 증상,S-SYMPTOM1 O O
고양이 망막 이상 물어본거야,S-ANIMAL S-SYMPTOM1 O O
강아지 망막 이상 물어본거야,S-ANIMAL S-SYMPTOM1 O O
망막 이상 물어본거야,S-SYMPTOM1 O O
강아지 결막 이상,S-ANIMAL S-SYMPTOM1 O
고양이 결막 이상,S-ANIMAL S-SYMPTOM1 O
결막 이상,S-SYMPTOM1 O
결막 이상 증상 있어,S-SYMPTOM1 O O O
강아지 결막이 이상해,S-ANIMAL S-SYMPTOM1 O
고양이 결막이 이상해,S-ANIMAL S-SYMPTOM1 O
결막이 이상해,S-SYMPTOM1 O
강아지 결막 이상 궁금해서,S-ANIMAL S-SYMPTOM1 O O
고양이 결막 이상 궁금해서,S-ANIMAL S-SYMPTOM1 O O
결막 이상 궁금해서,S-SYMPTOM1 O O
강아지 결막손상,S-ANIMAL S-SYMPTOM1
고양이 결막손상,S-ANIMAL S-SYMPTOM1
결막손상,S-SYMPTOM1
강아지 결막손상 있어,S-ANIMAL S-SYMPTOM1 O
고양이 결막손상 있어,S-ANIMAL S-SYMPTOM1 O
결막손상 있어,S-SYMPTOM1 O
강아지 눈 분비물,S-ANIMAL O S-SYMPTOM1
고양이 눈 분비물,S-ANIMAL O S-SYMPTOM1
눈 분비물,O S-SYMPTOM1
강아지 눈에서 분비물이 나와,S-ANIMAL O S-SYMPTOM1 O
고양이 눈에서 분비물이 나와,S-ANIMAL O S-SYMPTOM1 O
눈에서 분비물이 나와,O S-SYMPTOM1 O
강아지 안구 이물질,S-ANIMAL O S-SYMPTOM1
고양이 안구 이물질,S-ANIMAL O S-SYMPTOM1
안구 이물질,O S-SYMPTOM1
강아지 눈에 이물질이 있어,S-ANIMAL O S-SYMPTOM1 O
고양이 눈에 이물질이 있어,S-ANIMAL O S-SYMPTOM1 O
눈에 이물질이 있어,O S-SYMPTOM1 O
강아지 눈에 이물질이 있어 ㅠㅠ,S-ANIMAL O S-SYMPTOM1 O O
고양이 눈에 이물질이 있어ㅠ,S-ANIMAL O S-SYMPTOM1 O
눈에 이물질이 있어ㅜ,O S-SYMPTOM1 O
눈에서 이물질이 나와,O S-SYMPTOM1 O
눈에서 이물질이 나오는거,O S-SYMPTOM1 O
